Specified Values,Specified Attribute Names,Diabetes_binary,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"1, 0, 1, [4.3,7.7]","HighBP, HvyAlcoholConsump, AnyHealthcare, Education",1,0.12320572563802379,0.6578489383919248,1,173.98872055058035,9986,608,0.19047619047619047,0.00038055059727535424,1890,2873
"1, 0, 1, [-9.0,6.9], [5.025,6.975]","CholCheck, Smoker, Veggies, PhysHlth, Education",0,0.17179528266482047,0.7030759573132455,1,286.2422090444456,9990,611,0.23809523809523808,0.0005985608951316324,1120,1593
"0, 0, 0, 1, 1, [-9.45,9.45]","HighBP, Smoker, Stroke, PhysActivity, AnyHealthcare, PhysHlth",0,0.3475940434646844,0.8094955489614243,1,310.2757092627111,9990,641,0.2857142857142857,0.0006488173316362766,1364,1685
"0, 0, 0, 1","HighBP, Smoker, Stroke, PhysActivity",0,0.31501350306829295,0.793717277486911,1,303.98234375489955,9990,641,0.19047619047619047,0.0006356572791607128,1516,1910
"1, 0, 1, [5.025,6.975]","CholCheck, Smoker, Veggies, Education",0,0.1367992875821269,0.6717640633533588,1,283.2675237015177,9990,688,0.19047619047619047,0.0005923405325668599,1230,1831
"0, 1, 0, 1, 1, [5.025,6.975]","HighBP, CholCheck, Smoker, Veggies, AnyHealthcare, Education",0,0.3888909417435799,0.8278765201122544,1,310.8979384307645,9990,698,0.2857142857142857,0.000650118474640484,885,1069
"0, 0, 0, [-4.35,4.35], [-5.7,5.7], 0","HighBP, Smoker, Stroke, MentHlth, PhysHlth, DiffWalk",0,0.3499750992147329,0.8106015485407981,1,313.1252253040559,9990,717,0.2857142857142857,0.0006547759527568063,1361,1679
"0, 0, 0, 0, [-4.35,4.35], [3.45,6.55]","HighBP, Smoker, Stroke, Veggies, MentHlth, Education",0,0.24432505180968345,0.7543859649122807,1,192.4615513522171,9892,738,0.2857142857142857,0.0004024562234911983,215,285
"0, 0, 0, 0, 1, 0, [-5.7,8.6], 0","HighBP, HighChol, Smoker, Stroke, PhysActivity, Fruits, PhysHlth, DiffWalk",0,0.5088955833292618,0.8736263736263736,1,311.2355696927296,9934,738,0.38095238095238093,0.0006508244951503903,318,364
"0, 0, [-8.4,4.35], 0, 0, [1.88,8.120000000000001]","Smoker, NoDocbcCost, MentHlth, DiffWalk, Sex, Age",0,0.30337809210466155,0.787765293383271,1,319.8977642603171,9990,778,0.2857142857142857,0.0006689380045153718,631,801
"0, 0, 0, 0, [-4.35,8.4], [-5.7,5.7], 0","HighBP, Smoker, Stroke, HvyAlcoholConsump, MentHlth, PhysHlth, DiffWalk",0,0.344265605426811,0.8079392877991827,1,305.6380620178301,9990,778,0.3333333333333333,0.0006391195505317098,1384,1713
"1, 1, 1, 1","CholCheck, Stroke, PhysActivity, AnyHealthcare",1,0.22666497253028733,0.7431506849315068,1,185.79147117178667,9805,786,0.19047619047619047,0.00038850842321140703,217,292
"1, 1, 0, [-6.9,6.9], 0","HighBP, Fruits, HvyAlcoholConsump, MentHlth, DiffWalk",1,0.0789233980599914,0.6017847183491355,1,185.74854460800606,9985,786,0.23809523809523808,0.00041128929771850877,1079,1793
"0, 0, 0, 0, 0, [-4.35,4.35], [-5.7,5.7], 0","HighBP, Smoker, Stroke, HeartDiseaseorAttack, Fruits, MentHlth, PhysHlth, DiffWalk",0,0.31925089172712057,0.7958412098298677,1,293.17495593699596,9934,811,0.38095238095238093,0.0006130579576004372,421,529
"1, 0, [1.825,4.175]","HighBP, HvyAlcoholConsump, Education",1,0.19237119975802322,0.719164118246687,2,166.282319214089,9979,823,0.14285714285714285,0.0007364973126998879,1411,1962
"0, 0, 0, 1, 0, 0, [1.88,8.120000000000001]","HighBP, Smoker, HvyAlcoholConsump, AnyHealthcare, NoDocbcCost, Sex, Age",0,0.40873539264867476,0.8361581920903954,1,331.8986078647284,9990,826,0.3333333333333333,0.0006940329606861292,592,708
"0, 1, 0, 1","HighBP, CholCheck, Stroke, PhysActivity",0,0.22761261732085272,0.7437710437710437,1,266.32386079579186,9990,847,0.19047619047619047,0.0005569096502049747,2209,2970
"1, 0, 0, [2.5,5.5], [1.825,4.175], [-0.050000000000000044,2.05]","HighBP, Smoker, HvyAlcoholConsump, GenHlth, Education, Income",1,0.28357618151596387,0.7772020725388601,1,201.6042379873083,9927,854,0.2857142857142857,0.0004215744895026183,150,193
"0, 1, [5.025,6.975]","Smoker, Veggies, Education",0,0.14405690280303857,0.678745267712277,1,282.6062993747722,9990,863,0.14285714285714285,0.0005909578468119503,1255,1849
"1, 0, 1","HighBP, HvyAlcoholConsump, AnyHealthcare",1,0.15096029533456096,0.6851293103448276,2,156.3395445630193,9986,868,0.14285714285714285,0.0007071806827579069,3179,4640
"0, 0, 0, 0, 1, 0, [3.92,12.08]","HighBP, HighChol, Smoker, Stroke, PhysActivity, Fruits, Age",0,0.3747862013902924,0.8217821782178217,1,339.8156338212421,9934,877,0.3333333333333333,0.0007105882484584347,249,303
"0, 0, 0, 1, [-4.6,8.6], [4.3,7.7]","HighChol, Smoker, Fruits, Veggies, PhysHlth, Education",0,0.23524118101521485,0.7486910994764397,1,294.390796369502,9934,896,0.2857142857142857,0.0006156004007294484,286,382
"0, 0, 0, [-8.4,4.35], 0, [1.88,8.120000000000001]","Smoker, Stroke, HvyAlcoholConsump, MentHlth, DiffWalk, Age",0,0.2279948565539819,0.7440206851971558,1,248.02993939185058,9990,922,0.2857142857142857,0.000581926649856852,1151,1547
"1, 1, 0, [-6.9,6.9], [9.1,16.9], [4.3,7.7]","HighBP, PhysActivity, HvyAlcoholConsump, MentHlth, Age, Education",1,0.13065521620576057,0.6656184486373166,1,233.53798327866653,9985,947,0.2857142857142857,0.000536204877447472,635,954
"1, 0, [4.04,5.96]","CholCheck, AnyHealthcare, GenHlth",1,0.20030418945312498,0.725,1,101.80250764349626,9797,950,0.14285714285714285,0.0002128791567992491,29,40
"1, 0, 1","CholCheck, Stroke, Veggies",0,0.03924026576842961,0.5232947624847747,1,171.63573302056216,9990,954,0.14285714285714285,0.0004035682314203388,3437,6568
"1, [5.96,5.994486667404138]","CholCheck, GenHlth",1,0.025126003423796485,0.7586206896551724,1,39.58829035822047,961,961,0.09523809523809523,8.2783047939195e-05,0,0
"1, 1, 0","HighBP, Smoker, HvyAlcoholConsump",1,0.16723559069210361,0.6993035641130684,1,142.11934672324008,9986,989,0.14285714285714285,0.0002972480639546331,1707,2441
"1, 1, 1, 1, 0","HighBP, CholCheck, Stroke, HeartDiseaseorAttack, Sex",1,0.401877572016461,0.8333333333333334,1,191.97175492188495,9863,1011,0.23809523809523808,0.00040143201049776673,80,96
"0, 1, 0, 1","HighChol, CholCheck, Stroke, PhysActivity",0,0.15968187280115723,0.6928689883913765,2,271.76302733290066,9990,1025,0.19047619047619047,0.0011365669755490576,2089,3015
"0, 0, 0, 0, 0, [-4.55,6.55], [-7.9106476522955935,8.6], [-0.7800000000000002,12.08]","HighBP, HighChol, Smoker, Stroke, Fruits, MentHlth, PhysHlth, Age",0,0.35897162501170665,0.8147268408551069,1,318.4261643844158,9934,1061,0.38095238095238093,0.0006658607429824359,343,421
"1, 1, 0, [5.34,12.66]","HighBP, CholCheck, HvyAlcoholConsump, Age",1,0.16513031746230053,0.6975339708102667,1,146.56751922914142,9986,1074,0.19047619047619047,0.0003088750272077133,2772,3974
"0, 0, 0, [2.04,3.96], [-4.6,8.6], [4.125,5.875]","HighChol, Stroke, Veggies, GenHlth, MentHlth, Education",0,0.04662947792084618,0.5416666666666666,1,194.05677323942507,9787,1099,0.2857142857142857,0.0004057919909306975,39,72
"0, 1, 0","HighChol, Smoker, NoDocbcCost",0,0.07344545269942974,0.5931888544891641,1,144.77973134762163,9988,1099,0.14285714285714285,0.0003027488010298782,958,1615
"0, 0, 1, [-9.0,9.0]","Stroke, HeartDiseaseorAttack, Veggies, PhysHlth",0,0.08219365371289024,0.6066911464708282,1,196.36912539725705,9990,1116,0.19047619047619047,0.00048438070100934554,2974,4902
"1, 1, 1, 0, 1","HighBP, CholCheck, HeartDiseaseorAttack, HvyAlcoholConsump, AnyHealthcare",1,0.33229868671371376,0.8022426095820592,2,227.17332324386794,9986,1117,0.23809523809523808,0.0009500839737424172,787,981
"0, 0, 0, 1, 0, [0.74,3.26]","HighBP, Stroke, HeartDiseaseorAttack, Veggies, HvyAlcoholConsump, GenHlth",0,0.28357240052037574,0.7772,1,240.42617775506397,9990,1120,0.2857142857142857,0.0005027550222259597,1943,2500
"1, [30.025,69.975], 0, 1","HighBP, BMI, HvyAlcoholConsump, AnyHealthcare",1,0.2818538897325336,0.776255707762557,3,238.4869269749973,9986,1123,0.19047619047619047,0.0014960995685843973,1700,2190
"1, [30.025,69.975], 1, 1, 0, 1, [-6.9,6.9], 0, [9.1,16.9], [4.3,7.7]","HighBP, BMI, PhysActivity, Fruits, HvyAlcoholConsump, AnyHealthcare, MentHlth, DiffWalk, Age, Education",1,0.13767205934558463,0.6726190476190477,1,239.18498160722783,9985,1136,0.47619047619047616,0.0005001595577772928,113,168
"1, [30.025,69.975], 0","HighBP, BMI, HvyAlcoholConsump",1,0.2694472218557125,0.769298245614035,3,209.78431678006405,9986,1158,0.14285714285714285,0.0013160395406635053,1754,2280
"0, 0, 0, 0, 0, [0.74,3.26], 0, [1.88,8.120000000000001], [1.48,6.52]","HighBP, HighChol, Stroke, HeartDiseaseorAttack, HvyAlcoholConsump, GenHlth, DiffWalk, Age, Income",0,0.46266436603796024,0.8571428571428571,1,214.85678398631936,9952,1165,0.42857142857142855,0.0004492868797277423,330,385
"1, 1, 0, [1.74,4.26], 0, [5.515000000000001,10.485]","HighBP, Smoker, HvyAlcoholConsump, GenHlth, DiffWalk, Income",1,0.08552333998741996,0.6115288220551378,1,148.45560043376457,9831,1168,0.2857142857142857,0.00031381023391470605,488,798
"1, [4.04,5.96], [-6.3,6.3], 1","CholCheck, GenHlth, MentHlth, DiffWalk",1,0.3882095537407485,0.8275862068965517,1,264.8461623942761,9965,1195,0.19047619047619047,0.0005538196360491361,216,261
"1, [30.025,69.975]","HighBP, BMI",1,0.2614571700875909,0.7646806686669524,1,209.7843166099836,9986,1216,0.09523809523809523,0.00043867984653217995,1784,2333
"0, 1, 0, 1","HighChol, HeartDiseaseorAttack, HvyAlcoholConsump, AnyHealthcare",1,0.16690769464230054,0.6990291262135923,1,176.073207287299,9871,1239,0.19047619047619047,0.00036818656799220996,216,309
"0, 0, 0, 0","HighBP, HighChol, Stroke, Fruits",0,0.24868962073656217,0.7570621468926554,1,231.60932151954688,9976,1243,0.19047619047619047,0.00048431809994885916,670,885
"0, 0, 0, 0, 1, 0, [0.74,3.26], 0, 0, [1.88,8.120000000000001], [1.48,6.52]","HighBP, HighChol, Stroke, HeartDiseaseorAttack, PhysActivity, HvyAlcoholConsump, GenHlth, DiffWalk, Sex, Age, Income",0,0.4979126391588906,0.8698224852071006,1,254.80876813354342,9855,1254,0.5238095238095238,0.0005328304475099979,147,169
"1, [10.099999999999998,67.9], 1, 0, 1, [-6.9,6.9], [1.5,4.5]","CholCheck, BMI, PhysActivity, HvyAlcoholConsump, AnyHealthcare, MentHlth, Education",1,0.056172941852253654,0.5622188905547226,1,156.77003989184826,9957,1257,0.3333333333333333,0.0003278217273432102,750,1334
"1, 0, 0, 1, [-6.9,6.9], 1, [9.1,16.9]","HighBP, Stroke, HvyAlcoholConsump, AnyHealthcare, MentHlth, Sex, Age",1,0.1791939583465985,0.7090301003344481,1,203.6844164624991,9965,1287,0.3333333333333333,0.00045817141002136555,636,897
"1, 1, 0, 1, [-9.0,6.9], [5.025,6.975]","HighChol, CholCheck, Smoker, Veggies, PhysHlth, Education",0,0.050367289155937585,0.5500848896434635,1,207.01848695819484,9909,1294,0.2857142857142857,0.00043289622196582804,324,589
"1, 0, 1","CholCheck, AnyHealthcare, DiffWalk",1,0.095367431640625,0.625,1,112.82619307187946,9945,1311,0.14285714285714285,0.00023593077815058528,50,80
"1, [30.025,69.975], 1, 0","HighBP, BMI, Veggies, HvyAlcoholConsump",1,0.2595648601179502,0.7635705669481303,1,224.36599734317082,9985,1312,0.19047619047619047,0.00046917158952604777,1266,1658
"0, [30.025,69.975], 0, 0","HighChol, BMI, HeartDiseaseorAttack, HvyAlcoholConsump",1,0.03661671425870381,0.5161023947151114,1,185.40490641227535,9997,1318,0.19047619047619047,0.0003877000778969551,625,1211
"0, [7.699999999999999,14.3]","HvyAlcoholConsump, Age",1,0.07751311455604919,0.5996185191607422,1,183.8391188349968,9997,1323,0.09523809523809523,0.0004062982989953682,3458,5767
"0, 0, 1, [2.7199999999999998,5.28], 1, [9.1,16.9]","Stroke, HvyAlcoholConsump, AnyHealthcare, GenHlth, Sex, Age",1,0.2356335343825414,0.7489406779661016,3,221.0723088672613,9965,1345,0.2857142857142857,0.0013868524791589155,707,944
"1, 1, 1, 0, 1, [-6.9,6.9], [9.1,16.9]","HighBP, HighChol, PhysActivity, HvyAlcoholConsump, AnyHealthcare, MentHlth, Age",1,0.16136457924654446,0.6943231441048034,2,231.98914669788593,9985,1345,0.3333333333333333,0.001064312827005627,636,916
"0, 0, 0, 0, [-0.3600000000000001,2.3600000000000003], [-4.35,4.35], [-5.7,5.7], 0","HighBP, Smoker, Stroke, NoDocbcCost, GenHlth, MentHlth, PhysHlth, DiffWalk",0,0.5377539218558709,0.8833172613307618,2,317.48467890671793,9990,1347,0.38095238095238093,0.001327784006638077,916,1037
"1, 0, [-11.25,11.25], [7.699999999999999,14.3], [0.07499999999999973,3.9250000000000003]","Fruits, HvyAlcoholConsump, MentHlth, Age, Income",1,0.14926893050103668,0.6835871404399323,3,195.94305488018787,9985,1348,0.23809523809523808,0.0012292091796884594,404,591
"1, [30.025,69.975], 0, 0, 1","HighBP, BMI, Stroke, HvyAlcoholConsump, AnyHealthcare",1,0.26093773589818875,0.7643765903307888,1,259.2137389876528,9985,1360,0.23809523809523808,0.0005420416791668046,1502,1965
"[30.025,69.975], 0, 1","BMI, HvyAlcoholConsump, NoDocbcCost",1,0.17281744126719248,0.7039106145251397,1,172.18933243796448,9945,1371,0.14285714285714285,0.000360064999848373,252,358
"[30.025,69.975], 0, [3.725,8.275]","BMI, Stroke, Income",1,0.097383334387542,0.6276202219482121,1,213.67967137357246,9997,1371,0.14285714285714285,0.0004468254203171663,1527,2433
"1, [30.025,69.975], 0, 1","HighBP, BMI, Stroke, AnyHealthcare",1,0.25276115515761205,0.7595249876298862,1,259.21373648855445,9985,1372,0.19047619047619047,0.0005420416739409416,1535,2021
"0, 0, [0.74,3.26], [-9.9,9.9], 0, [1.88,8.120000000000001]","HighBP, HeartDiseaseorAttack, GenHlth, PhysHlth, DiffWalk, Age",0,0.4484442168634938,0.8518079430942501,2,247.9051089364071,9990,1374,0.2857142857142857,0.0010367884206038973,1437,1687
"0, 0, 0, 0, 1, 0","HighBP, HighChol, Stroke, Fruits, Veggies, DiffWalk",0,0.2984677839937623,0.7851985559566786,1,267.6520487504088,9976,1375,0.2857142857142857,0.0005596870231636047,435,554
"1, [2.9250000000000007,53.075], 0, 1, 0, 1, [-6.9,6.9], [9.1,16.9]","HighBP, BMI, Stroke, PhysActivity, HvyAlcoholConsump, AnyHealthcare, MentHlth, Age",1,0.11931049974574295,0.653635652853792,1,206.83059976256988,9985,1387,0.38095238095238093,0.00046639513730911057,836,1279
"1, 1, 1, 1, 0, 1, [-6.9,6.9]","HighBP, HighChol, CholCheck, PhysActivity, HvyAlcoholConsump, AnyHealthcare, MentHlth",1,0.1615899376267966,0.6945169712793734,1,230.75868689237308,9985,1387,0.3333333333333333,0.0005289401463899465,1064,1532
"0, 0, 0, 0, [-4.6,8.6]","HighBP, HighChol, Smoker, HeartDiseaseorAttack, PhysHlth",0,0.4381432431292079,0.8478581979320532,1,315.98875556954147,9990,1396,0.23809523809523808,0.0006607638790122225,1148,1354
"1, [69.23342256896603,69.975], 1, 0, [2.8200000000000003,5.18]","HighBP, BMI, Smoker, HvyAlcoholConsump, GenHlth",1,0.022824833264848604,0.7441860465116279,1,68.77571865611988,1418,1418,0.23809523809523808,0.0001438168600625088,0,0
"1, [30.025,69.975], 0, 0, 1, [5.225,6.775]","HighBP, BMI, Stroke, HvyAlcoholConsump, AnyHealthcare, Education",1,0.21641035743463144,0.7363013698630136,1,239.72640778683586,9965,1445,0.2857142857142857,0.0005012917337054892,430,584
"0, 0, 0, 0","HighBP, Stroke, HeartDiseaseorAttack, DiffWalk",0,0.2768197726429574,0.7734627831715211,2,237.73113081370622,9990,1450,0.19047619047619047,0.0009942388226777024,2390,3090
"0, 0, 1, [-7.5,7.5], [-9.0,9.0]","Stroke, HeartDiseaseorAttack, Veggies, MentHlth, PhysHlth",0,0.08341532282148037,0.6084840055632823,1,196.05979661643514,9990,1455,0.23809523809523808,0.00048337001786841384,2625,4314
"1, [30.025,69.975], 0, 0, 1, 0","HighBP, BMI, Stroke, HvyAlcoholConsump, AnyHealthcare, Sex",1,0.26536541332609875,0.766953199617956,2,254.40408587169432,9985,1475,0.2857142857142857,0.001063968433396639,803,1047
"0, 1, 1, [9.1,16.9]","Stroke, AnyHealthcare, Sex, Age",1,0.10962986371869292,0.6426666666666667,1,202.13756817578843,9965,1494,0.19047619047619047,0.0004541281432272352,964,1500
"1, 1, 0, 1, [-6.9,6.9], [9.1,16.9]","HighBP, PhysActivity, HvyAlcoholConsump, AnyHealthcare, MentHlth, Age",1,0.13264986474215498,0.6676384839650146,2,206.54919366168173,9985,1503,0.2857142857142857,0.0009313191543368569,916,1372
"0, 0, 0, 0, 0, 0","HighBP, HighChol, Smoker, Fruits, HvyAlcoholConsump, NoDocbcCost",0,0.3238067574989229,0.7980997624703088,1,265.495597956624,9934,1510,0.2857142857142857,0.0005551776703265648,336,421
"1, 1, 0, 1","HighBP, HeartDiseaseorAttack, HvyAlcoholConsump, AnyHealthcare",1,0.3307514300389627,0.8014941302027748,1,227.0888957660978,9986,1523,0.19047619047619047,0.00047486544062795365,751,937
"0, 0, 0, [3.1,4.9]","HighBP, HeartDiseaseorAttack, DiffWalk, Education",0,0.21419749525564077,0.734789391575663,1,174.45703280476695,9989,1539,0.19047619047619047,0.00036480698659440477,471,641
"1, [30.025,69.975], 0, 0, 0, 1, 0","HighBP, BMI, Smoker, Stroke, HvyAlcoholConsump, AnyHealthcare, Sex",1,0.25221641267724476,0.7591973244147158,1,257.4142779123567,9985,1541,0.3333333333333333,0.0005382788272953793,454,598
"1, [20.975,49.025], 0, 0, 1","CholCheck, BMI, AnyHealthcare, NoDocbcCost, DiffWalk",1,0.11177418429208745,0.6451612903225806,1,131.4559505156655,9321,1543,0.23809523809523808,0.00027488745169241895,20,31
"1, 1, 1, 1, 1, 0","HighBP, HighChol, CholCheck, HeartDiseaseorAttack, NoDocbcCost, Sex",1,0.3366816616594237,0.8043478260869565,1,195.8246487009397,9945,1556,0.2857142857142857,0.0004094887941459114,37,46
"1, 0, 1, 0, [2.6799999999999997,5.32]","HighBP, HvyAlcoholConsump, AnyHealthcare, NoDocbcCost, GenHlth",1,0.25013367022536004,0.757939308398024,1,200.5847961213049,9986,1575,0.23809523809523808,0.0004194427352868908,2148,2834
"1, 0, 1, [0.8499999999999996,13.15]","HighBP, HvyAlcoholConsump, AnyHealthcare, PhysHlth",1,0.17287646684224248,0.7039586919104991,1,203.64555255572648,9916,1575,0.19047619047619047,0.00042584308105449495,818,1162
"[30.025,69.975], 0, 1","BMI, HvyAlcoholConsump, AnyHealthcare",1,0.14790096401334277,0.6823295830575777,1,208.21850184348642,9997,1581,0.14285714285714285,0.00043540557230346426,2062,3022
"1, 0, 1, 0","HighBP, Stroke, AnyHealthcare, NoDocbcCost",1,0.12180083976269526,0.6563417890520694,1,146.26755150000295,9985,1602,0.19047619047619047,0.0003206816881416954,2458,3745
"1, [30.025,69.975], 0, 1, [2.6799999999999997,5.32], 1","HighBP, BMI, HvyAlcoholConsump, AnyHealthcare, GenHlth, DiffWalk",1,0.4688777447111532,0.8594327990135635,1,257.70394961862246,9986,1602,0.2857142857142857,0.0005388845596098956,697,811
"1, 1, 1","HighBP, Fruits, AnyHealthcare",1,0.12312057379287514,0.6577579806978471,1,174.14380298072803,9986,1618,0.14285714285714285,0.00038095596323500016,1772,2694
"1, 1, 1, 0, [4.3,7.7]","HighBP, PhysActivity, Fruits, HvyAlcoholConsump, Education",1,0.08412023619213208,0.6095089633671084,1,190.27321753543862,9985,1629,0.23809523809523808,0.0004231162234480462,782,1283
"1, 1, 1, 0","HighBP, CholCheck, HeartDiseaseorAttack, HvyAlcoholConsump",1,0.3229842986495935,0.7976939203354297,1,189.88210323206772,9986,1635,0.19047619047619047,0.0003970623412231137,761,954
"1, 0, 0, [-9.0,6.9], 0, [9.46,16.54], [5.53,8.47]","CholCheck, Smoker, Stroke, PhysHlth, DiffWalk, Age, Income",0,0.049046795920395056,0.5471698113207547,1,216.3258136387759,9909,1699,0.3333333333333333,0.00045235876666812285,319,583
"1, 0, 0, 1, 0, 1, [1.26,2.74]","CholCheck, Stroke, HeartDiseaseorAttack, Veggies, HvyAlcoholConsump, NoDocbcCost, GenHlth",0,0.1928371908530817,0.7195121951219512,1,188.56500718831663,9989,1713,0.3333333333333333,0.0003943081625520024,59,82
"1, 0, 0, [-6.3,6.3], [24.15,35.85], 1","CholCheck, Veggies, HvyAlcoholConsump, MentHlth, PhysHlth, DiffWalk",1,0.3158088059220047,0.7941176470588235,2,229.66156014302246,9896,1716,0.2857142857142857,0.0009604902748300826,81,102
"1, 1, [9.8,64.2], 1, 1, 0, 1, [5.5200000000000005,12.48]","HighBP, CholCheck, BMI, HeartDiseaseorAttack, Veggies, HvyAlcoholConsump, AnyHealthcare, Age",1,0.34237532604295334,0.8070500927643784,1,283.2859254508914,9985,1718,0.38095238095238093,0.0005923790124528763,435,539
"0, 0, 0, [0.74,3.26]","HighBP, Stroke, HvyAlcoholConsump, GenHlth",0,0.2543080298535728,0.7604523646333105,1,230.5402102322999,9990,1730,0.19047619047619047,0.00048208248203902626,2219,2918
"0, 1, 0, [4.125,5.875]","HighChol, Smoker, NoDocbcCost, Education",0,0.09475109959439905,0.6241900647948164,1,151.53084624690052,9976,1738,0.19047619047619047,0.00031686605295697405,289,463
"0, 1, 1","HighChol, CholCheck, PhysActivity",0,0.14698687464885218,0.6814840742037102,2,271.76302701844395,9990,1772,0.14285714285714285,0.001136566974233937,1947,2857
